"Symbol","Security","SEC filings","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"NTAP","NetApp","reports","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","1999-06-25",1002047,"1992",2023-01-13
"NFLX","Netflix","reports","Communication Services","Movies & Entertainment","Los Gatos, California","2010-12-20",1065280,"1997",2023-01-13
"NWL","Newell Brands","reports","Consumer Discretionary","Housewares & Specialties","Atlanta, Georgia","1989-04-30",814453,"1903",2023-01-13
"NEM","Newmont","reports","Materials","Gold","Denver, Colorado","1969-06-30",1164727,"1921",2023-01-13
"NWSA","News Corp (Class A)","reports","Communication Services","Publishing","New York City, New York","2013-08-01",1564708,"2013 (1980)",2023-01-13
"NWS","News Corp (Class B)","reports","Communication Services","Publishing","New York City, New York","2015-09-18",1564708,"2013 (1980)",2023-01-13
"NEE","NextEra Energy","reports","Utilities","Multi-Utilities","Juno Beach, Florida","1976-06-30",753308,"1984 (1925)",2023-01-13
"NKE","Nike, Inc.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County, Oregon","1988-11-30",320187,"1964",2023-01-13
"NI","NiSource","reports","Utilities","Multi-Utilities","Merrillville, Indiana","",1111711,"1912",2023-01-13
"NDSN","Nordson Corporation","reports","Industrials","Industrial Machinery","Westlake, Ohio","2022-02-15",72331,"1935",2023-01-13
"NSC","Norfolk Southern Railway","reports","Industrials","Railroads","Atlanta, Georgia","1957-03-04",702165,"1881/1894 (1980)",2023-01-13
"NTRS","Northern Trust","reports","Financials","Asset Management & Custody Banks","Chicago, Illinois","",73124,"1889",2023-01-13
"NOC","Northrop Grumman","reports","Industrials","Aerospace & Defense","West Falls Church, Virginia","1985-06-30",1133421,"1994 (Northrop 1939, Grumman 1930)",2023-01-13
